claim,label
Here’s the Smartest and Safest Way to Grocery Shop During COVID-19,TRUE
What It’s Like to Be Immunocompromised During the COVID-19 Outbreak,TRUE
How to Clean Common Surfaces During the COVID-19 Outbreak,TRUE
How to Keep Your Teeth Healthy During the COVID-19 Outbreak,TRUE
Here’s How to Clean Your Groceries During the COVID-19 Outbreak,TRUE
How South Korea Successfully Battled COVID-19 While the U.S. Didn’t,TRUE
It’s Critical Parents Make Kids Follow Social Distancing Guidelines,TRUE
Stress About COVID-19 Keeping You Awake? 6 Tips for Better Sleep,TRUE
Don’t Put Off Talking to Your Roommate About Social Distancing,TRUE
There Isn’t Enough Medical Gear for Doctors and Nurses: What People Are Doing to Help,TRUE
Don’t Let These 5 Myths About COVID-19 Interfere with Your Safety,TRUE
What Does a Stay-at-Home Order Mean? 11 Questions Answered,TRUE
"COVID-19 Timeline: What Outbreak Could Look Like in 3 Months, 6 Months, 1 Year",TRUE
Not Enough Tests: Doctors Starting to Limit Who Gets Tested for COVID-19,TRUE
"Resist Using Pot, Alcohol to Ease Fears During COVID-19 Outbreak",TRUE
Here’s What Could Happen If Doctors Get COVID-19,TRUE
5 Tips to Help You Talk to Your Older Parents About Social Distancing,TRUE
What Experts Say You Can Do to Treat Yourself at Home If You Have a Mild Case of COVID-19,TRUE
Why You Need to Act Even If There Aren’t Any COVID-19 Cases in Your Town,TRUE
"Washing Hands, Staying Home, and Flattening the Curve with COVID-19 Explained",TRUE
How the COVID-19 Outbreak Is Affecting Healthcare for People with Cancer,TRUE
How People in Addiction Recovery Are Dealing with the Isolation of COVID-19,TRUE
Here’s What We Know About Ibuprofen and COVID-19,TRUE
Here Are 5 Ways Spring-Cleaning Can Make You Healthier,TRUE
This Is What It Looks Like to Be #HighRiskCOVID19,TRUE
How to Talk to Your Kids About the COVID-19 Outbreak,TRUE
"The Need Is Great, but Is It Safe to Donate Blood During the COVID-19 Outbreak?",TRUE
How Many People in the United States Actually Have COVID-19?,TRUE
When and How to Clean Your Phone During the COVID-19 Outbreak,TRUE
How a Chat App Can Help Relieve Loneliness During the COVID-19 Outbreak,TRUE
"If You’re Pregnant, Here’s What to Know About the Coronavirus",TRUE
Being Mindful of Your Mental Health During the COVID-19 Outbreak,TRUE
What It’s Like to Be an ER Doctor During the Coronavirus Outbreak,TRUE
Here’s What It’s Like to Live in the Quarantine Zone,TRUE
How the Novel Coronavirus Spreads in Public Places and How to Protect Yourself,TRUE
How to Exercise at Home If You’re Avoiding the Gym During the COVID-19 Outbreak,TRUE
"No Music, No Sports: Why It’s Important to Cancel Public Events Amid COVID-19 Outbreak",TRUE
What Does It Mean to Declare a Pandemic?,TRUE
Here’s How COVID-19 Compares to Past Outbreaks,TRUE
Can We Learn Anything from the SARS Outbreak to Fight COVID-19?,TRUE
What Is Going On with the Coronavirus Tests?,TRUE
How the COVID-19 Outbreak in the U.S. May Unfold in the Coming Days,TRUE
You Probably Touch Your Face 16 Times an Hour: Here’s How to Stop,TRUE
What Is the Cost of Getting Tested and Treated for the Coronavirus?,TRUE
Here’s What Older At-Risk People Should Know About the Coronavirus,TRUE
"Ask an Expert: An Epidemiologist Answers Our Questions About the Coronavirus, Quarantines, and Face Masks",TRUE
What Medications to Get to Prep for a Coronavirus Infection,TRUE
How to Prep for the Coronavirus at Home,TRUE
Will the Coronavirus Outbreak Get Better This Summer? Maybe Not,TRUE
Asking This One Question May Help Slow Down Coronavirus Outbreak,TRUE
What to Know as Flu Season Nears Peak,TRUE
When Will We Know If the Coronavirus Is a Global Pandemic?,TRUE
How to Protect Yourself While Traveling During the Coronavirus Outbreak,TRUE
Here’s What Happens to the Body After Contracting the Coronavirus,TRUE
How Lack of Sick Leave in U.S. Can Make Outbreaks Like Coronavirus Worse,TRUE
How the U.S. Is Preparing for a Major Coronavirus Outbreak,TRUE
Why You Don’t Need to Panic About the New Coronavirus,TRUE
Don’t Fall for These 3 Myths About the New Coronavirus,TRUE
Forget the Toilet Seat — Shower Curtains Have Most Germs in Your Bathroom,TRUE
How Flu and HIV Meds May Help Fight the New Coronavirus,TRUE
"Sorry, You Might Get the Flu Twice This Year — Here’s Why",TRUE
What Health Experts Are Doing to Stop the Coronavirus from Spreading in the U.S.,TRUE
How Long Will It Take to Develop a Vaccine for Coronavirus?,TRUE
"If You’re Worried About the New Coronavirus, Here’s How to Protect Yourself",TRUE
There Are 4 FDA-Approved Drugs to Treat Flu Symptoms — Here’s What to Know,TRUE
Why Seeing a Doctor Within 48 Hours of Flu Symptoms Is Critical,TRUE
Why People Under 40 Aren’t Making It a Priority to Get a Flu Shot,TRUE
"Flu Taking a Toll, Pediatric Deaths Hit 17-Year High",TRUE
I Never Get Sick. Why Do I Need the Flu Shot?,TRUE
Germs at the Gym: How to Work Out Without Worry,TRUE
"Flu Season 2019: Cases Top 5 Million, Infections May Increase Over the Holidays",TRUE
Flu Season Off to Early Start: More Than 3 Million Cases in the U.S.,TRUE
Why Do Some States Make It Difficult for Children to Get Flu Shots?,TRUE
Here’s Where Flu Activity Is the Highest Right Now,TRUE
4 Debunked Myths About Living with Asthma During Cold and Flu Season,TRUE
Why a Flu Shot Is Essential for People with Heart Disease,TRUE
Blood Clotting a Significant Cause of Death in Patients With COVID-19,TRUE
Clinicians Warn of the Dangers of Equating COVID-19 With High Altitude Pulmonary Edema,TRUE
Influenza: Researchers Show That New Treatment Reduces Spread of Virus,TRUE
Antiviral drug baloxavir reduces transmission of flu virus among ferrets,TRUE
What type of cells does the novel coronavirus attack?,TRUE
"Engineered virus might be able to block coronavirus infections, mouse study shows",TRUE
Coronavirus: Virological Findings from Patients Treated in a Munich Hospital,TRUE
Clues to COVID-19 Coronavirus's Vulnerability Emerge from an Antibody Against SARS,TRUE
Rapid Infectious Disease Shifts in Chinese Children and Adolescents Prior to COVID-19,TRUE
Vaccine candidate against SARS-CoV-2 being tested,TRUE
Trial Drug Can Significantly Block Early Stages of COVID-19 in Engineered Human Tissues,TRUE
Solving a Medical Mystery and Changing CDC Screenings for COVID-19,TRUE
Hopes for Pandemic Respite This Spring May Depend Upon What Happens Indoors,TRUE
Phage Capsid Against Influenza: Perfectly Fitting Inhibitor Prevents Viral Infection,TRUE
"Lessons from the Spanish Flu: Early Restrictions Lowered Disease, Mortality Rates",TRUE
"Missing Link in Coronavirus Jump from Bats to Humans Could Be Pangolins, Not Snakes",TRUE
How tissues harm themselves during wound healing,TRUE
Coronavirus SARS-CoV2: BESSY II Data Accelerate Drug Development,TRUE
"Understanding How COVID-19 Affects Children Vital to Slowing Pandemic, Doctors Say",TRUE
Public Health Leadership Paramount to Emerging Coronavirus Pandemic,TRUE
Portable AI device turns coughing sounds into health data for flu and pandemic forecasting,TRUE
Median incubation period for COVID-19,TRUE
"Coronavirus Spreads Quickly and Sometimes Before People Have Symptoms, Study Finds",TRUE
COVID-19 Appears Less Severe in Children,TRUE
Scientists Identify Potential Targets for Immune Responses to Novel Coronavirus,TRUE
Knowing More About a Virus Threat May Not Satisfy You,TRUE
Individual Response to COVID-19 'as Important' as Government Action,TRUE
Preventing Spread of SARS Coronavirus-2 in Humans,TRUE
"App, AI Work Together to Provide Rapid at-Home Assessment of Coronavirus Risk",TRUE
The World Faces an Air Pollution 'Pandemic',TRUE
Drug Meant for Ebola May Also Work Against Coronaviruses,TRUE
"New Compounds Thwart Multiple Viruses, Including Coronavirus",TRUE
No Benefit Found in Using Broad-Spectrum Antibiotics as Initial Pneumonia Treatment,TRUE
"Atomic Structures Mapped in Measles, Mumps, Flu and RSV",TRUE
New Pathogenic Mechanism for Influenza NS1 Protein Found,TRUE
New 'Universal' Target for Antiviral Treatment,TRUE
New Details on How a Viral Protein Puts the Brakes on Virus Replication,TRUE
Portable Lab You Plug Into Your Phone Can Diagnose Illnesses Like Coronavirus,TRUE
New Tool Monitors Real Time Mutations in Flu,TRUE
Nanoparticles Produced from Burning Coal Result in Damage to Mice Lungs,TRUE
Radiologists Describe Coronavirus Imaging Features,TRUE
First Childhood Flu Helps Explain Why Virus Hits Some People Harder Than Others,TRUE
Exposing a Virus's Hiding Place Reveals New Potential Vaccine,TRUE
"Whole Genome of Novel Coronavirus, 2019-nCoV, Sequenced",TRUE
Rapid Weather Swings Increase Flu Risk,TRUE
Infectious Disease Experts Warn of Outbreak Risks in US Border Detention Centers,TRUE
Pneumonia Recovery Reprograms Immune Cells of the Lung,TRUE
New Treatment Kills Off Infection That Can Be Deadly to Cystic Fibrosis Patients,TRUE
Coronavirus Outbreak in China Traced to Snakes,TRUE
Full Influenza Vaccination Among Children Cuts Hospitalization in Half,TRUE
Universal Flu Vaccine Protects Against 6 Influenza Viruses in Mice,TRUE
Can the Flu Shot Help Fight Cancer?,TRUE
Why Your First Battle With Flu Matters Most,TRUE
Domestic Animals Link Virus Spread Among Humans and Wildlife,TRUE
Scientists Uncover Structure of Key Pneumonia Virus Enzyme,TRUE
Virtual Reality Could Help Flu Vaccination Rates,TRUE
Building a Better Flu Shot,TRUE
New Flu Drug Drives Drug Resistance in Influenza Viruses,TRUE
Ketogenic Diet Helps Tame Flu Virus,TRUE
How Fibrosis Progresses in the Human Lung,TRUE
Vaccine Reduces Likelihood of Severe Pneumonia,TRUE
"New Vaccine Protects from Widespread, Costly Infection, Mice Study Shows",TRUE
"Best Practice Treatment Guidelines Help Doctors Identify, Treat Vaping-Associated Lung Injuries",TRUE
Investigational chimp adenovirus MERS-CoV vaccine protects monkeys,TRUE
NIH begins study to quantify undetected cases of coronavirus infection,TRUE
Autoimmunity may be rising in the United States,TRUE
The National Library of Medicine expands access to coronavirus literature through PubMed Central,TRUE
Remdesivir prevents MERS coronavirus disease in monkeys,TRUE
COVID-19 global impact: How the coronavirus is affecting the,TRUE
How to disinfect clothes: Tips for coronavirus (COVID-19,TRUE
"COVID-19: Hand sanitizers inactivate novel coronavirus, study",TRUE
SARS-CoV-2 may be here to stay,TRUE
COVID-19 vs. previous pandemics,TRUE
COVID-19: How does it affect women's sexual and,TRUE
"Viral pneumonia: Symptoms, causes, and treatment",TRUE
SARS-CoV-2 may affect more children than scientists initially thought,TRUE
"Echinacea: Benefits, uses, side effects, and effectiveness",TRUE
says Chicago nurse looking after COVID-19 patients,TRUE
"Protective masks can be effectively disinfected at home, study",TRUE
Sore throat: Allergy or cold? Plus treatment and prevention,TRUE
How to increase lung capacity: Simple exercises,TRUE
"Hydroxychloroquine: Side effects, dosage, COVID-19 (under",TRUE
Letter from the Editor: Keeping hope,TRUE
People with large social networks are more civil online,TRUE
"Headache and fever: Causes, treatment, and prevention",TRUE
Can you use an expired inhaler? Safety and effects,TRUE
Should parents limit screen time for young children?,TRUE
27 coronavirus myths busted,TRUE
New study pinpoints loss of smell and taste as COVID-19 symptoms,TRUE
How do SARS and MERS compare with COVID-19?,TRUE
How does the new coronavirus affect our pets?,TRUE
COVID-19: Symptoms and when to see a doctor,TRUE
"Coronaviruses: Symptoms, treatments, and variants",TRUE
Coronavirus causes: Origin and how it spreads,TRUE
"COVID-19: Symptoms, incubation, prevention, and more",TRUE
"Coronavirus tests: Methods, availability, and accuracy",TRUE
Prof. Martin Bachmann on making millions of coronavirus vaccine doses,TRUE
COVID-19: 'Digestive symptoms are common',TRUE
"Coronavirus vaccine: Development, timeline, and more",TRUE
Coronaviruses: How long can they survive on surfaces?,TRUE
Closing schools has only a minor role in suppressing COVID-19,TRUE
Multiple sclerosis (MS) and COVID-19: What to know,TRUE
How humidity may affect COVID-19 outcome,TRUE
Is the flu contagious?,TRUE
Pneumonia vaccine: How often and when to seek help,TRUE
Why returning to the COVID-19 front line is so difficult for doctors,TRUE
COVID-19 expert calls for a 'tremendous effort from everyone' to fight pandemic,TRUE
Experts draw attention to the 'hidden sorrows' of COVID-19 and Parkinson’s,TRUE
COVID-19: Study estimates rate of 'silent transmission',TRUE
Does Medicare cover telehealth?,TRUE
Walking pneumonia vs pneumonia: What is the difference?,TRUE
Contracting the new coronavirus may protect against future reinfection,TRUE
Coronavirus: 10 home exercises,TRUE
New coronavirus may be most infectious during 1st week,TRUE
"Flu shots pros and cons: Benefits, risks, and safety",TRUE
Coronavirus may spread faster than WHO estimate,TRUE
Are there any home remedies for pneumonia?,TRUE
Experts condemn 'rumors and misinformation' about coronavirus,TRUE
Protecting healthcare workers from COVID-19: Infection control works,TRUE
Coronavirus research: Woman with no symptoms infects five people,TRUE
Preventing skin damage due to face masks,TRUE
COVID-19: Scientists urge 'equitable and inclusive' response,TRUE
Early flu symptoms: Signs in children and adults,TRUE
6 best essential oils for the flu,TRUE
App-based contact tracing may significantly reduce pandemic spread,TRUE
Keeping active while staying put: A brief 'how to' guide,TRUE
What to know about Klebsiella pneumoniae,TRUE
Letter from the Editor: The importance of accurate reporting,TRUE
Managing patients with endocrine dysfunction during COVID-19,TRUE
What causes a sore throat and swollen glands?,TRUE
Drinks to boost immune system: Do they work?,TRUE
Medicines that fights COVID-19: What to know,TRUE
Media backgrounder: COVID-19 readiness and helping the world respond to the global pandemic,TRUE
"Cleveland Clinic Appoints Timothy Chan, M.D., Ph.D., as Director of Center for Immunotherapy and Precision Immuno-Oncology",TRUE
Cleveland Clinic Establishes Center for Global and Emerging Pathogens Research,TRUE
Health Education Campus Will Temporarily Convert As a Medical Surge Hospital Location,TRUE
Cleveland Whiskey Collaborates with Cleveland Clinic to Supply Hand Sanitizer to the Health System,TRUE
How One Very Ill Infant Survived COVID-19,TRUE
COVID-19 & Household Spread: How Likely?,TRUE
Models: Opening States Early Will Increase Deaths,TRUE
Study: Many Health Care Workers Lack Insurance,TRUE
Smokers Hospitalized Less Often for COVID-19,TRUE
Coronavirus Social: Two Digital Tributes and a Celebration,TRUE
"Orthopedic Surgeon, Mayor Team Up on COVID-19 Response",TRUE
As COVID-19 Shutters Practices Virtual Doc-Patient Activity Soars,TRUE
Gastroenterology Groups Map a Return to Elective Endoscopy,TRUE
"COVID-19: A 'Marathon, Not a Sprint' for Psychiatry",TRUE
Don't Ignore Signs of Heart Attack During COVID-19,TRUE
Face shields a more effective deterrent to COVID?,TRUE
Javits Center Field Hospital to Shut Down,TRUE
Interest in Unproven Drugs Follows Trump Thumbs Up,TRUE
Trump to Order Meat Processing Plants Remain Open,TRUE
"Traffic Down, Dangerous Crashes Up During Pandemic",TRUE
CDC to Conduct Antibody Testing in Atlanta Area,TRUE
Trials and Tribulations: Neurology Research During COVID-19,TRUE
Metastatic Cancer Linked to Worse Outcomes of COVID-19,TRUE
What's Your Malpractice Risk When Treating COVID-19 Patients?,TRUE
"Georgia’s Reopening: Dinner, a Movie and a Virus?",TRUE
Don't Let The COVID Pandemic Rob You of Your Sleep,TRUE
Coronavirus Crisis Has Fewer Kids Getting Vaccines,TRUE
COVID-19 Continues to Strike Men Harder Than Women,TRUE
Girl Goes on Chalk Adventures During Quarantine,TRUE
How Contagious? Likely Before You Know You’re Sick,TRUE
Researchers Report First U.S. Dog With Coronavirus,TRUE
UV Light Might Disinfect Scarce Medical Gear,TRUE
More Guidance on 'Vulnerable Subgroup' With Diabetes and COVID-19,TRUE
COVID-19: Calls to NYC Crisis Hotline Soar,TRUE
Chest Imaging Guidelines Released for Pediatric COVID-19,TRUE
German Physician Explains Alternative Ventilation for COVID-19,TRUE
"COVID-19: An Opportunity, Challenge for Addiction Treatment",TRUE
A Step-by-Step Guide to Preventing PPE-Related Skin Damage,TRUE
ED Physician at Epicenter of COVID-19 Crisis Lost to Suicide,TRUE
Testing Sewage to Gauge Spread of Coronavirus,TRUE
Trump Reveals Blueprint to Increase COVID Testing,TRUE
CDC Adds Six Symptoms to COVID-19 List,TRUE
Hospitals Study Heartburn Drug for COVID Treatment,TRUE
Bats and Coronaviruses Go Back Centuries,TRUE
Saliva COVID Test Alternative to Deep Nasal Swab,TRUE
Isolation During Pandemic a Trigger for Depression,TRUE
Musician Performs Drive-By Concerts to Spread Joy,TRUE
Poison Control Centers Report Rise in Accidents,TRUE
Birx: Social Distancing Will Last Through Summer,TRUE
COVID-19 Patient in Primary Care -- How to Treat?,TRUE
New Billing Basics for Telemedicine,TRUE
CMS Suspends Advance Payment Program to Clinicians for COVID-19,TRUE
COVID-19 'Therapies' Put Focus on 12-Lead ECG Alternatives,TRUE
COVID-19: Defer 'Bread and Butter' Procedure for Thyroid Nodules,TRUE
Doc Suspended for Exposing Poor Social-Distancing Practices,TRUE
USDA Meat Inspector Dies of Coronavirus,TRUE
Italian Authorities Cite Heartening Statistics,TRUE
Fauci: COVID Testing Should Double In Coming Weeks,TRUE
You Can't Get Coronavirus Through Sex: Study,TRUE
Certain Anerobic Bacteria Linked to Increased CRC Risk,TRUE
"USMLE Tests Resume May 1, Sparking Student Concerns",TRUE
"After Battling Flint Water Crisis, Doc Faces COVID Fight",TRUE
Officials Push Masks For COVID Despite Mixed Data,TRUE
Blood Clots Are Another Dangerous COVID-19 Mystery,TRUE
First U.S. Coronavirus Death Earlier Than Believed,TRUE
WebMD Doctors: Don't Ingest or Inject Disinfectant,TRUE
California Still Setting COVID Death Records,TRUE
"Higher Temps, Humidity May Help Against COVID",TRUE
Trending Clinical Topic: Remdesivir,TRUE
Clinicians Dodge Infection as 'Dofficer' Helps With Gear,TRUE
Finding the Right Balance in COVID-19 Thromboprophylaxis,TRUE
"Helping African Americans with More Testing, PPE",TRUE
Coping With Budget Stress During the Pandemic,TRUE
"Up to 50,000 Kids May Be Hospitalized With COVID",TRUE
Seniors Recruited for Coronavirus Vaccine Trials,TRUE
White House Reemphasizes COVID-19 Testing Capacity,TRUE
Disinfectant-Linked Poisoning Rises Amid COVID-19,TRUE
Some COVID Patients Develop Guillain-Barre,TRUE
Sesame Street Eases Kids’ Fears Through Meditation,TRUE
Signature STEMI Sign May Be Less Diagnostic in the COVID-19 Age,TRUE
COVID-19: Employers Cut Doc Pay and Bonuses: What's Your Recourse?,TRUE
European Cancer Centers Restructure Care in the Era of COVID-19,TRUE
"Checklist to Manage Hyperglycemia, DKA in Severe COVID-19",TRUE
Physicians Push Back on Treating COVID-19 as HAPE,TRUE
COVID Keeping People With Lung Diseases Out of ER,TRUE
New COVID-19 Tracking App May Find 'Hotspots',TRUE
COVID-19 Drug Testing: Where We Stand,TRUE
Self-Isolating? Learn Something With These Freebies,TRUE
COVID-19 Changes Funerals and How Families Grieve,TRUE
Paper Towels Beat Air Dryers Against Viruses,TRUE
COVID-19 Making Heart Attack Patients Stay Home,TRUE
"The Week That Wasn't: Open Windows, Antibody Testing, Conspiracy Theories",TRUE
"COVID-19: Striking Uptick in Anxiety, Other Psych Meds",TRUE
"Grief, Chaos, and COVID: How Medical Trainees Can Cope",TRUE
Normal Chest X-ray Doesn't Rule Out COVID-19,TRUE
How COVID-19 Affects the Brain,TRUE
New COVID-19 Breast Cancer Treatment Guidelines,TRUE
Is It Allergies or COVID-19?,TRUE
Call to Defund WHO Debated,TRUE
25 FEMA Workers Have Contracted COVID-19,TRUE
Bucket Truck Lets Man Visit Wife in Nursing Home,TRUE
COVID-19: First Data Confirm Neurologic Symptoms Common,TRUE
Trending Clinical Topic: Ventilators,TRUE
COVID-19 Pneumonia: Only Some Cases Are Like Severe ARDS,TRUE
U.S. Lockdowns Trigger Surge in Domestic Violence,TRUE
Hospital Workers Celebrate COVID-19 Survivors,TRUE
Dangerous Claims That Bleach Can Treat COVID-19,TRUE
COVID 19: Psychiatric Patients May Be Among the Hardest Hit,TRUE
Treating Rectal Cancer in the COVID-19 Era: Expert Guidance,TRUE
"SARS-CoV-2 May Confound Seasons, Persist in Warmer Months",TRUE
"COVID-19 Registry Tracks Pregnant Women, Newborns",TRUE
First Case of COVID-19 Presenting as Guillain-Barre´ Reported,TRUE
"See Acute Hepatitis? Consider COVID-19, NY Case Suggests",TRUE
First Protocol on How to Use Lung Ultrasound to Triage COVID-19,TRUE
"Beaches, Lakes, Pools: Is COVID-19 in the Water?",TRUE
CDC Issues New Return-to-Work Guidelines,TRUE
"CVS, Walgreens Launch Drive-Thru Rapid Testing",TRUE
'Super Spreader' Events Increase COVID-19 Cases,TRUE
WWII Vet Shows Off Dance Moves During Quarantine,TRUE
National Stockpile Almost Out of PPE,TRUE
COVID-19 Shows Gaps in Controls at Nursing Homes,TRUE
100 American Flight Attendants Have COVID-19,TRUE
NYC Hospitals Require In-Person Presence for Telehealth Work,TRUE
Numbers Lacking on COVID-19-Infected Healthcare Workers,TRUE
"CMS Loosens Telehealth, Clinician Scope-of-Practice Rules",TRUE
Trending Clinical Topic: PPE,TRUE
Heart Patients: Ask About Home-Based Cardiac Rehab,TRUE
Tweets Show America Following COVID-19 Guidelines,TRUE
Trump’s Plan to Reopen the Nation,TRUE
California Creates Relief Fund for Immigrants,TRUE
Major Drugmakers Join Forces on COVID-19 Vaccine,TRUE
"Anxiety, Depression Prescriptions Spiked in March",TRUE
How Accurate Are Coronavirus Death Counts?,TRUE
New Protective Respirator for Health Care Workers,TRUE
Ventilators: Helping or Harming COVID-19 Patients?,TRUE
George Stephanopoulos Diagnosed With Coronavirus,TRUE
First Case of COVID Spreading from a Corpse Found,TRUE
FedEx Worker Sanitizes Box for Girl at Higher Risk,TRUE
COVID-19 Pandemic Spells Trouble for Children's Health,TRUE
"Global Appeal to MI, Stroke Patients to Seek Care Amid Pandemic",TRUE
No Hydroxychloroquine Benefit in Randomized COVID-19 Trial,TRUE
Tips for Safe Grocery Shopping,TRUE
Study: Many Seniors Were Unfazed by COVID Warnings,TRUE
Pregnant Women With COVID-19 May Not Show Symptoms,TRUE
Pet Adoptions Spike as Furry Lockdown Pals Wanted,TRUE
How 4 U.S. Cities Helped Slow Coronavirus Spread,TRUE
"CDC: COVID-19 Can Spread 13 Feet, Travel on Shoes",TRUE
WHO Issues Criteria to Lift COVID-19 Lockdowns,TRUE
50 NYC School Employees Have Died of COVID-19,TRUE
COVID-19 and Diabetes: Known Mechanisms and a 'New Beast'?,TRUE
IDSA: No Recommendations for COVID-19 Treatment for Now,TRUE
Life in the 'Cabin': Two Months Fighting COVID-19 in Wuhan,TRUE
Hospital Staff 'Looking for Reasons to Make Trouble' Amid COVID,TRUE
"'Hypercoagulation,' Antiphospholipid Antibodies Seen in COVID-19",TRUE
Ventilator or Hospice? COVID-19 Strains Care System,TRUE
Sleep Troubles Hit Health Care Workers,TRUE
Coronavirus Has Killed Thousands at Nursing Homes,TRUE
Will Coronavirus Exposure Mean Lasting Immunity?,TRUE
Little Known About COVID Patients' Loss of Smell,TRUE
Bar Owner Removes Cash From Walls to Pay Staff,TRUE
Higher Mortality Rate in Ventilated COVID-19 Patients,TRUE
Where Did the COVID-19 Virus Come From?,TRUE
Husband Holds Sweet Sign to Support Wife in Chemo,TRUE
How Do You Choose Who Gets a Ventilator?,TRUE
Music Icon John Prine Dies from Coronavirus,TRUE
"'You Are the Heroes,' Comedians Tell Clinicians",TRUE
AMA Asks HHS for 'Immediate' Aid to Ease Clinicians' 'Financial Peril' (if too long take out 'Immediate'),TRUE
COVID-19 Breast Cancer Patient Triage Guidelines (CPBCC),TRUE
Lessons From the HIV Epidemic for the COVID-19 Pandemic,TRUE
Nephrologists on Lessons Learned With Kidney Disease in COVID-19,TRUE
Potential COVID-19 Plateau Seen in NY and NJ,TRUE
Trump Won’t Socially Distance Himself From Pence,TRUE
School Closures May Be Adding to Kids' Waistlines,TRUE
"China's Controls May Have Headed Off 700,000 COVID-19 Cases: Study",TRUE
Side Effects Halt Use of Chloroquine Vs. COVID-19,TRUE
Little Boy With Cystic Fibrosis Beats Coronavirus,TRUE
COVID-19 Linked to Multiple Cardiovascular Presentations,TRUE
"COVID-19 Exposes Potential Gaps in PPE Training, Effectiveness",TRUE
Not All Biologics Compromise the Immune System,TRUE
Stay on Angiotensin Drugs' Still the Message as Trials Begin,TRUE
Surgeon General: This Week Is ‘Our Pearl Harbor',TRUE
British PM Admitted to Hospital for COVID-19,TRUE
Trump: Toughest COVID-19 Weeks To Come,TRUE
Mother-Baby Separation for COVID-19 Not Evidence-Based,TRUE
"Coronavirus Is Aerosolized Through Talking, Exhalation",TRUE
"Doctor With COVID-19 Recovering After Treatment, ""Lot of Luck""",TRUE
Silence Over Safety? Muzzling Clinicians a Public Health Issue,TRUE
